title,abstract
Stimulus Evoked Independent Factor Analysis of MEG Data with Large Background Activity,Abstract Missing
An Analog Visual Pre-Processing Processor Employing Cyclic Line Access in Only-Nearest-Neighbor-Interconnects Architecture,Abstract Missing
Q-Clustering,Abstract Missing
Optimal cue selection strategy,Abstract Missing
Nearest Neighbor Based Feature Selection for Regression and its Application to Neural Activity,Abstract Missing
A Bayesian Spatial Scan Statistic,Abstract Missing
"Divergences, surrogate loss functions and experimental design",Abstract Missing
"How fast to work: Response vigor, motivation and tonic dopamine",Abstract Missing
Analyzing Coupled Brain Sources: Distinguishing True from Spurious Interaction,Abstract Missing
An Approximate Inference Approach for the PCA Reconstruction Error,Abstract Missing
Bayesian model learning in human visual perception,Abstract Missing
Spiking Inputs to a Winner-take-all Network,Abstract Missing
Variational EM Algorithms for Non-Gaussian Latent Variable Models,Abstract Missing
Nonparametric inference of prior probabilities from Bayes-optimal behavior,Abstract Missing
Neuronal Fiber Delineation in Area of Edema from Diffusion Weighted MRI,Abstract Missing
Beyond Pair-Based STDP: a Phenomenological Rule for Spike Triplet and Frequency Effects,Abstract Missing
Scaling Laws in Natural Scenes and the Inference of 3D Shape,Abstract Missing
Off-policy Learning with Options and Recognizers,Abstract Missing
Estimation of Intrinsic Dimensionality Using High-Rate Vector Quantization,Abstract Missing
Preconditioner Approximations for Probabilistic Graphical Models,Abstract Missing
Cue Integration for Figure/Ground Labeling,Abstract Missing
Generalization to Unseen Cases,Abstract Missing
Visual Encoding with Jittering Eyes,Abstract Missing
Dynamic Social Network Analysis using Latent Space Models,Abstract Missing
Logic and MRF Circuitry for Labeling Occluding and Thinline Visual Contours,Abstract Missing
Learning Depth from Single Monocular Images,Abstract Missing
Identifying Distributed Object Representations in Human Extrastriate Visual Cortex,Abstract Missing
On the Accuracy of Bounded Rationality: How Far from Optimal Is Fast and Frugal?,Abstract Missing
Fast Online Policy Gradient Learning with SMD Gain Vector Adaptation,Abstract Missing
The Information-Form Data Association Filter,Abstract Missing
A Bayesian Framework for Tilt Perception and Confidence,Abstract Missing
Learning Minimum Volume Sets,Abstract Missing
AER Building Blocks for Multi-Layer Multi-Chip Neuromorphic Vision Systems,Abstract Missing
Fast Gaussian Process Regression using KD-Trees,Abstract Missing
Learning Shared Latent Structure for Image Synthesis and Robotic Imitation,Abstract Missing
Selecting Landmark Points for Sparse Manifold Learning,Abstract Missing
Conditional Visual Tracking in Kernel Space,Abstract Missing
Sparse Gaussian Processes using Pseudo-inputs,Abstract Missing
Phase Synchrony Rate for the Recognition of Motor Imagery in Brain-Computer Interface,Abstract Missing
A General and Efficient Multiple Kernel Learning Algorithm,Abstract Missing
Prediction and Change Detection,Abstract Missing
Sensory Adaptation within a Bayesian Framework for Perception,Abstract Missing
Describing Visual Scenes using Transformed Dirichlet Processes,Abstract Missing
Active Learning for Misspecified Models,Abstract Missing
Temporal Abstraction in Temporal-difference Networks,Abstract Missing
Sequence and Tree Kernels with Statistical Feature Mining,Abstract Missing
Silicon growth cones map silicon retina,Abstract Missing
Temporally changing synaptic plasticity,Abstract Missing
Structured Prediction via the Extragradient Method,Abstract Missing
Affine Structure From Sound,Abstract Missing
Predicting EMG Data from M1 Neurons with Variational Bayesian Least Squares,Abstract Missing
Generalization error bounds for classifiers trained with interdependent data,Abstract Missing
TD(0) Leads to Better Policies than Approximate Value Iteration,Abstract Missing
An aVLSI Cricket Ear Model,Abstract Missing
Goal-Based Imitation as Probabilistic Inference over Graphical Models,Abstract Missing
Kernels for gene regulatory regions,Abstract Missing
Consistency of one-class SVM and related algorithms,Abstract Missing
Multiple Instance Boosting for Object Detection,Abstract Missing
Estimating the wrong Markov random field: Benefits in the computation-limited setting,Abstract Missing
Recovery of Jointly Sparse Signals from Few Random Projections,Abstract Missing
Gaussian Process Dynamical Models,Abstract Missing
Group and Topic Discovery from Relations and Their Attributes,Abstract Missing
A Bayes Rule for Density Matrices,Abstract Missing
Variational Bayesian Stochastic Complexity of Mixture Models,Abstract Missing
Distance Metric Learning for Large Margin Nearest Neighbor Classification,Abstract Missing
Analyzing Auditory Neurons by Learning Distance Functions,Abstract Missing
Oblivious Equilibrium: A Mean Field Approximation for Large-Scale Dynamic Games,Abstract Missing
Active Bidirectional Coupling in a Cochlear Chip,Abstract Missing
Neural mechanisms of contrast dependent receptive field size in V1,Abstract Missing
Factorial Switching Kalman Filters for Condition Monitoring in Neonatal Intensive Care,Abstract Missing
Comparing the Effects of Different Weight Distributions on Finding Sparse Representations,Abstract Missing
Message passing for task redistribution on sparse graphs,Abstract Missing
Modeling Neural Population Spiking Activity with Gibbs Distributions,Abstract Missing
Extracting Dynamical Structure Embedded in Neural Activity,Abstract Missing
Soft Clustering on Graphs,Abstract Missing
Augmented Rescorla-Wagner and Maximum Likelihood Estimation,Abstract Missing
The Role of Top-down and Bottom-up Processes in Guiding Eye Movements during Visual Search,Abstract Missing
Learning Influence among Interacting Markov Chains,Abstract Missing
Learning Multiple Related Tasks using Latent Independent Component Analysis,Abstract Missing
Modeling Neuronal Interactivity using Dynamic Bayesian Networks,Abstract Missing
Analysis of Spectral Kernel Design based Semi-supervised Learning,Abstract Missing
A Computational Model of Eye Movements during Object Class Detection,Abstract Missing
Separation of Music Signals by Harmonic Structure Modeling,Abstract Missing
A Domain Decomposition Method for Fast Manifold Learning,Abstract Missing
A Hierarchical Compositional System for Rapid Object Detection,Abstract Missing
Cyclic Equilibria in Markov Games,Abstract Missing
On the Convergence of Eigenspaces in Kernel Principal Component Analysis,Abstract Missing
An Application of Reinforcement Learning to Aerobatic Helicopter Flight,Abstract Missing
Tighter PAC-Bayes Bounds,Abstract Missing
Online Classification for Complex Problems Using Simultaneous Projections,Abstract Missing
Learning on Graph with Laplacian Regularization,Abstract Missing
Sparse Kernel Orthonormalized PLS for feature extraction in large data sets,Abstract Missing
Multi-Task Feature Learning,Abstract Missing
Logarithmic Online Regret Bounds for Undiscounted Reinforcement Learning,Abstract Missing
Efficient Methods for Privacy Preserving Face Detection,Abstract Missing
Active learning for misspecified generalized linear models,Abstract Missing
Subordinate class recognition using relational object models,Abstract Missing
Unified Inference for Variational Bayesian Linear Gaussian State-Space Models,Abstract Missing
A Novel Gaussian Sum Smoother for Approximate Inference in Switching Linear Dynamical Systems,Abstract Missing
Sample Complexity of Policy Search with Known Dynamics,Abstract Missing
AdaBoost is Consistent,Abstract Missing
A selective attention multi--chip system with dynamic synapses and spiking neurons,Abstract Missing
Temporal and Cross-Subject Probabilistic Models for fMRI Prediction Tasks,Abstract Missing
Convergence of Laplacian Eigenmaps,Abstract Missing
Analysis of Representations for Domain Adaptation,Abstract Missing
An Approach to Bounded Rationality,Abstract Missing
Greedy Layer-Wise Training of Deep Networks,Abstract Missing
Dirichlet-Enhanced Spam Filtering based on Biased Samples,Abstract Missing
Detecting Humans via Their Pose,Abstract Missing
Similarity by Composition,Abstract Missing
Denoising and Dimension Reduction in Feature Space,Abstract Missing
Learning to Rank with Nonsmooth Cost Functions,Abstract Missing
Conditional mean field,Abstract Missing
Sparse Multinomial Logistic Regression via Bayesian L1 Regularisation,Abstract Missing
Branch and Bound for Semi-Supervised Support Vector Machines,Abstract Missing
Automated Hierarchy Discovery for Planning in Partially Observable Environments,Abstract Missing
Max-margin classification of incomplete data,Abstract Missing
Modeling General and Specific Aspects of Documents with a Probabilistic Topic Model,Abstract Missing
implicit Online Learning with Kernels,Abstract Missing
Context dependent amplification of both rate and event-correlation in a VLSI network of spiking neurons,Abstract Missing
Bayesian Ensemble Learning,Abstract Missing
Implicit Surfaces with Globally Regularised and Compactly Supported Basis Functions,Abstract Missing
Map-Reduce for Machine Learning on Multicore,Abstract Missing
Relational Learning with Gaussian Processes,Abstract Missing
Recursive Attribute Factoring,Abstract Missing
On Transductive Regression,Abstract Missing
Balanced Graph Matching,Abstract Missing
Learning from Multiple Sources,Abstract Missing
Kernels on Structured Objects Through Nested Histograms,Abstract Missing
Differential Entropic Clustering of Multivariate Gaussians,Abstract Missing
Support Vector Machines on a Budget,Abstract Missing
A Theory of Retinal Population Coding,Abstract Missing
Learning to Traverse Image Manifolds,Abstract Missing
Using Combinatorial Optimization within Max-Product Belief Propagation,Abstract Missing
Optimal Single-Class Classification Strategies,Abstract Missing
A Small World Threshold for Economic Network Formation,Abstract Missing
PG-means: learning the number of clusters in data,Abstract Missing
Clustering Under Prior Knowledge with Application to Image Segmentation,Abstract Missing
Multi-dynamic Bayesian Networks,Abstract Missing
Image Retrieval and Classification Using Local Distance Functions,Abstract Missing
Multiple Instance Learning for Computer Aided Diagnosis,Abstract Missing
Distributed Inference in Dynamical Systems,Abstract Missing
iLSTD: Eligibility Traces and Convergence Analysis,Abstract Missing
A PAC-Bayes Risk Bound for General Loss Functions,Abstract Missing
Bayesian Policy Gradient Algorithms,Abstract Missing
Data Integration for Classification Problems Employing Gaussian Process Priors,Abstract Missing
Approximate inference using planar graph decomposition,Abstract Missing
Near-Uniform Sampling of Combinatorial Spaces Using XOR Constraints,Abstract Missing
No-regret Algorithms for Online Convex Programs,Abstract Missing
Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural Prosthesis,Abstract Missing
Approximate Correspondences in High Dimensions,Abstract Missing
A Kernel Method for the Two-Sample-Problem,Abstract Missing
Learning Nonparametric Models for Probabilistic Imitation,Abstract Missing
Training Conditional Random Fields for Maximum Labelwise Accuracy,Abstract Missing
Adaptive Spatial Filters with predefined Region of Interest for EEG based Brain-Computer-Interfaces,Abstract Missing
Graph-Based Visual Saliency,Abstract Missing
Stratification Learning: Detecting Mixed Density and Dimensionality in High Dimensional Point Clouds,Abstract Missing
Manifold Denoising,Abstract Missing
TrueSkill™: A Bayesian Skill Rating System,Abstract Missing
Prediction on a Graph with a Perceptron,Abstract Missing
Geometric entropy minimization (GEM) for anomaly detection and localization,Abstract Missing
Single Channel Speech Separation Using Factorial Dynamics,Abstract Missing
Correcting Sample Selection Bias by Unlabeled Data,Abstract Missing
Sparse Representation for Signal Classification,Abstract Missing
In-Network PCA and Anomaly Detection,Abstract Missing
Learning Time-Intensity Profiles of Human Activity using Non-Parametric Bayesian Models,Abstract Missing
Kernel Maximum Entropy Data Transformation and an Enhanced Spectral Clustering Algorithm,Abstract Missing
Adaptor Grammars: A Framework for Specifying Compositional Nonparametric Bayesian Models,Abstract Missing
A Humanlike Predictor of Facial Attractiveness,Abstract Missing
Clustering appearance and shape by learning jigsaws,Abstract Missing
A Kernel Subspace Method by Stochastic Realization for Learning Nonlinear Dynamical Systems,Abstract Missing
An Efficient Method for Gradient-Based Adaptation of Hyperparameters in SVM Models,Abstract Missing
Combining causal and similarity-based reasoning,Abstract Missing
A Nonparametric Approach to Bottom-Up Visual Saliency,Abstract Missing
Hierarchical Dirichlet Processes with Random Effects,Abstract Missing
An Information Theoretic Framework for Eukaryotic Gradient Sensing,Abstract Missing
Information Bottleneck Optimization and Independent Component Extraction with Spiking Neurons,Abstract Missing
Predicting spike times from subthreshold dynamics of a neuron,Abstract Missing
Gaussian and Wishart Hyperkernels,Abstract Missing
Causal inference in sensorimotor integration,Abstract Missing
Multiple timescales and uncertainty in motor adaptation,Abstract Missing
Reducing Calibration Time For Brain-Computer Interfaces: A Clustering Approach,Abstract Missing
Accelerated Variational Dirichlet Process Mixtures,Abstract Missing
PAC-Bayes Bounds for the Risk of the Majority Vote and the Variance of the Gibbs Classifier,Abstract Missing
Inducing Metric Violations in Human Similarity Judgements,Abstract Missing
Modelling transcriptional regulation using Gaussian Processes,Abstract Missing
Learning to Model Spatial Dependency: Semi-Supervised Discriminative Random Fields,Abstract Missing
Efficient sparse coding algorithms,Abstract Missing
A Bayesian Approach to Diffusion Models of Decision-Making and Response Time,Abstract Missing
Efficient Structure Learning of Markov Networks using ,Abstract Missing
Aggregating Classification Accuracy across Time: Application to Single Trial EEG,Abstract Missing
"Uncertainty, phase and oscillatory hippocampal recall",Abstract Missing
Blind Motion Deblurring Using Image Statistics,Abstract Missing
Speakers optimize information density through syntactic reduction,Abstract Missing
Real-time adaptive information-theoretic optimization of neurophysiology experiments,Abstract Missing
Ordinal Regression by Extended Binary Classification,Abstract Missing
Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data,Abstract Missing
Generalized Regularized Least-Squares Learning with Predefined Features in a Hilbert Space,Abstract Missing
Learnability and the doubling dimension,Abstract Missing
Emergence of conjunctive visual features by quadratic independent component analysis,Abstract Missing
Bayesian Detection of Infrequent Differences in Sets of Time Series with Shared Structure,Abstract Missing
Analysis of Contour Motions,Abstract Missing
Attribute-efficient learning of decision lists and linear threshold functions under unconcentrated distributions,Abstract Missing
Dynamic Foreground/Background Extraction from Images and Videos using Random Patches,Abstract Missing
Effects of Stress and Genotype on Meta-parameter Dynamics in Reinforcement Learning,Abstract Missing
Statistical Modeling of Images with Fields of Gaussian Scale Mixtures,Abstract Missing
An EM Algorithm for Localizing Multiple Sound Sources in Reverberant Environments,Abstract Missing
Isotonic Conditional Random Fields and Local Sentiment Flow,Abstract Missing
Part-based Probabilistic Point Matching using Equivalence Constraints,Abstract Missing
Modeling Dyadic Data with Binary Latent Factors,Abstract Missing
Fast Discriminative Visual Codebooks using Randomized Clustering Forests,Abstract Missing
Context Effects in Category Learning: An Investigation of Four Probabilistic Models,Abstract Missing
Multi-Robot Negotiation: Approximating the Set of Subgame Perfect Equilibria in General-Sum Stochastic Games,Abstract Missing
Non-rigid point set registration: Coherent Point Drift,Abstract Missing
Fundamental Limitations of Spectral Clustering,Abstract Missing
"On the Relation Between Low Density Separation, Spectral Clustering and Graph Cuts",Abstract Missing
A Nonparametric Bayesian Method for Inferring Features From Similarity Judgments,Abstract Missing
Temporal dynamics of information content carried by neurons in the primary visual cortex,Abstract Missing
Blind source separation for over-determined delayed mixtures,Abstract Missing
The Neurodynamics of Belief Propagation on Binary Markov Random Fields,Abstract Missing
Handling Advertisements of Unknown Quality in Search Advertising,Abstract Missing
Bayesian Model Scoring in Markov Random Fields,Abstract Missing
Game Theoretic Algorithms for Protein-DNA binding,Abstract Missing
"Bayesian Image Super-resolution, Continued",Abstract Missing
Parameter Expanded Variational Bayesian Methods,Abstract Missing
Inferring Network Structure from Co-Occurrences,Abstract Missing
Unsupervised Regression with Applications to Nonlinear System Identification,Abstract Missing
Stability of ,Abstract Missing
Learning to parse images of articulated bodies,Abstract Missing
Efficient Learning of Sparse Representations with an Energy-Based Model,Abstract Missing
Learning to be Bayesian without Supervision,Abstract Missing
Boosting Structured Prediction for Imitation Learning,Abstract Missing
Large Scale Hidden Semi-Markov SVMs,Abstract Missing
Natural Actor-Critic for Road Traffic Optimisation,Abstract Missing
Computation of Similarity Measures for Sequential Data using Generalized Suffix Trees,Abstract Missing
Learning annotated hierarchies from relational data,Abstract Missing
"Shifting, One-Inclusion Mistake Bounds and Tight Multiclass Expected Risk Bounds",Abstract Missing
Neurophysiological Evidence of Cooperative Mechanisms for Stereo Computation,Abstract Missing
Robotic Grasping of Novel Objects,Abstract Missing
Theory and Dynamics of Perceptual Bistability,Abstract Missing
Fast Iterative Kernel PCA,Abstract Missing
Cross-Validation Optimization for Large Scale Hierarchical Classification Kernel Methods,Abstract Missing
Information Bottleneck for Non Co-Occurrence Data,Abstract Missing
Large Margin Hidden Markov Models for Automatic Speech Recognition,Abstract Missing
Nonlinear physically-based models for decoding motor-cortical population activity,Abstract Missing
Convex Repeated Games and Fenchel Duality,Abstract Missing
Recursive ICA,Abstract Missing
Chained Boosting,Abstract Missing
A recipe for optimizing a time-histogram,Abstract Missing
Mutagenetic tree Fisher kernel improves prediction of HIV drug resistance from viral genotype,Abstract Missing
Hidden Markov Dirichlet Process: Modeling Genetic Recombination in Open Ancestral Space,Abstract Missing
Learning Dense 3D Correspondence,Abstract Missing
An Oracle Inequality for Clipped Regularized Risk Minimizers,Abstract Missing
Learning Structural Equation Models for fMRI,Abstract Missing
Mixture Regression for Covariate Shift,Abstract Missing
Modeling Human Motion Using Binary Latent Variables,Abstract Missing
A Collapsed Variational Bayesian Inference Algorithm for Latent Dirichlet Allocation,Abstract Missing
Towards a general independent subspace analysis,Abstract Missing
Linearly-solvable Markov decision problems,Abstract Missing
Logistic Regression for Single Trial EEG Classification,Abstract Missing
Large Margin Component Analysis,Abstract Missing
Learning Motion Style Synthesis from Perceptual Observations,Abstract Missing
Large-Scale Sparsified Manifold Regularization,Abstract Missing
Scalable Discriminative Learning for Natural Language Parsing and Translation,Abstract Missing
Generalized Maximum Margin Clustering and Unsupervised Kernel Learning,Abstract Missing
A Complexity-Distortion Approach to Joint Pattern Alignment,Abstract Missing
Online Clustering of Moving Hyperplanes,Abstract Missing
Comparative Gene Prediction using Conditional Random Fields,Abstract Missing
Fast Computation of Graph Kernels,Abstract Missing
Temporal Coding using the Response Properties of Spiking Neurons,Abstract Missing
High-Dimensional Graphical Model Selection Using ,Abstract Missing
Attentional Processing on a Spike-Based VLSI Neural Network,Abstract Missing
Randomized PCA Algorithms with Regret Bounds that are Logarithmic in the Dimension,Abstract Missing
Graph Laplacian Regularization for Large-Scale Semidefinite Programming,Abstract Missing
A Switched Gaussian Process for Estimating Disparity and Segmentation in Binocular Stereo,Abstract Missing
Analysis of Empirical Bayesian Methods for Neuroelectromagnetic Source Localization,Abstract Missing
Particle Filtering for Nonparametric Bayesian Matrix Factorization,Abstract Missing
A Scalable Machine Learning Approach to Go,Abstract Missing
A Local Learning Approach for Clustering,Abstract Missing
The Robustness-Performance Tradeoff in Markov Decision Processes,Abstract Missing
Optimal Change-Detection and Spiking Neurons,Abstract Missing
Stochastic Relational Models for Discriminative Link Prediction,Abstract Missing
Nonnegative Sparse PCA,Abstract Missing
Doubly Stochastic Normalization for Spectral Clustering,Abstract Missing
Simplifying Mixture Models through Function Approximation,Abstract Missing
Hyperparameter Learning for Graph Based Semi-supervised Learning Algorithms,Abstract Missing
MLLE: Modified Locally Linear Embedding Using Multiple Weights,Abstract Missing
"Learning with Hypergraphs: Clustering, Classification, and Embedding",Abstract Missing
Multi-Instance Multi-Label Learning with Application to Scene Classification,Abstract Missing
Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing,Abstract Missing
A Probabilistic Algorithm Integrating Source Localization and Noise Suppression of MEG and EEG data,Abstract Missing
Inferring Elapsed Time from Stochastic Neural Processes,Abstract Missing
Fitted Q-iteration in continuous action-space MDPs,"We consider continuous state, continuous action batch reinforcement learning where the goal is to learn a good policy from a sufficiently rich trajectory generated by another policy. We study a variant of fitted Q-iteration, where the greedy action selection is replaced by searching for a policy in a restricted set of candidate policies by maximizing the average action values. We provide a rigorous theoretical analysis of this algorithm, proving what we believe is the first finite-time bounds for value-function based algorithms for continuous state- and action-space problems."
Variational Inference for Diffusion Processes,"Diffusion processes are a family of continuous-time continuous-state stochastic processes that are in general only partially observed. The joint estimation of the forcing parameters and the system noise (volatility) in these dynamical systems is a crucial, but non-trivial task, especially when the system is nonlinear and multi-modal. We propose a variational treatment of diffusion processes, which allows us to estimate these parameters by simple gradient techniques and which is computationally less demanding than most MCMC approaches. Furthermore, our parameter inference scheme does not break down when the time step gets smaller, unlike most current approaches. Finally, we show how a cheap estimate of the posterior over the parameters can be constructed based on the variational free energy."
A Spectral Regularization Framework for Multi-Task Structure Learning,Abstract Missing
Random Sampling of States in Dynamic Programming,We combine two threads of research on approximate dynamic programming: random sampling of states and using local trajectory optimizers to globally optimize a policy and associated value function. This combination allows us to replace a dense multidimensional grid with a much sparser adaptive sampling of states. Our focus is on finding steady state policies for the deterministic time invariant discrete time control problems with continuous states and actions often found in robotics. In this paper we show that we can now solve problems we couldn't solve previously with regular grid-based approaches.
Progressive mixture rules are deviation suboptimal,"We consider the learning task consisting in predicting as well as the best function in a finite reference set G up to the smallest possible additive term. If R(g) denotes the generalization error of a prediction function g, under reasonable assumptions on the loss function (typically satisfied by the least square loss when the output is bounded), it is known that the progressive mixture rule g_n satisfies E R(g_n) < min_{g in G} R(g) + Cst (log|G|)/n where n denotes the size of the training set, E denotes the expectation wrt the training set distribution. This work shows that, surprisingly, for appropriate reference sets G, the deviation convergence rate of the progressive mixture rule is only no better than Cst / sqrt{n}, and not the expected Cst / n. It also provides an algorithm which does not suffer from this drawback."
DIFFRAC: a discriminative and flexible framework for clustering,"We present a novel linear clustering framework (Diffrac) which relies on a linear discriminative cost function and a convex relaxation of a combinatorial optimization problem. The large convex optimization problem is solved through a sequence of lower dimensional singular value decompositions. This framework has several attractive properties: (1) although apparently similar to K-means, it exhibits superior clustering performance than K-means, in particular in terms of robustness to noise. (2) It can be readily extended to non linear clustering if the discriminative cost function is based on positive definite kernels, and can then be seen as an alternative to spectral clustering. (3) Prior information on the partition is easily incorporated, leading to state-of-the-art performance for semi-supervised learning, for clustering or classification. We present empirical evaluations of our algorithms on synthetic and real medium-scale datasets."
Optimal ROC Curve for a Combination of Classifiers,"We present a new analysis for the combination of binary classifiers. We propose a theoretical framework based on the Neyman-Pearson lemma to analyze combinations of classifiers. In particular, we give a method for finding the optimal decision rule for a combination of classifiers and prove that it has the optimal ROC curve. We also show how our method generalizes and improves on previous work on combining classifiers and generating ROC curves."
Adaptive Online Gradient Descent,Abstract Missing
One-Pass Boosting,Abstract Missing
Comparing Bayesian models for multisensory cue combination without mandatory integration,Abstract Missing
On Sparsity and Overcompleteness in Image Models,"Computational models of visual cortex, and in particular those based on sparse coding, have enjoyed much recent attention. Despite this currency, the question of how sparse or how over-complete a sparse representation should be, has gone without principled answer. Here, we use Bayesian model-selection methods to address these questions for a sparse-coding model based on a Student-t prior. Having validated our methods on toy data, we find that natural images are indeed best modelled by extremely sparse distributions; although for the Student-t prior, the associated optimal basis size is only modestly overcomplete."
Near-Maximum Entropy Models for Binary Neural Representations of Natural Images,Abstract Missing
Incremental Natural Actor-Critic Algorithms,Abstract Missing
Invariant Common Spatial Patterns: Alleviating Nonstationarities in Brain-Computer Interfacing,Abstract Missing
Supervised Topic Models,"We introduce supervised latent Dirichlet allocation (sLDA), a statistical model of labelled documents. The model accommodates a variety of response types. We derive a maximum-likelihood procedure for parameter estimation, which relies on variational approximations to handle intractable posterior expectations. Prediction problems motivate this research: we use the fitted model to predict response values for new documents. We test sLDA on two real-world problems: movie ratings predicted from reviews, and web page popularity predicted from text descriptions. We illustrate the benefits of sLDA versus modern regularized regression, as well as versus an unsupervised LDA analysis followed by a separate regression."
Learning Bounds for Domain Adaptation,"Empirical risk minimization offers well-known learning guarantees when training and test data come from the same domain. In the real world, though, we often wish to adapt a classifier from a source domain with a large amount of training data to different target domain with very little training data. In this work we give uniform convergence bounds for algorithms that minimize a convex combination of source and target empirical risk. The bounds explicitly model the inherent trade-off between training on a large but inaccurate source data set and a small but accurate target training set. Our theory also gives results when we have multiple source domains, each of which may have a different number of instances, and we exhibit cases in which minimizing a non-uniform combination of source risks can achieve much lower target error than standard empirical risk minimization."
Feature Selection Methods for Improving Protein Structure Prediction with Rosetta,Abstract Missing
A neural network implementing optimal state estimation based on dynamic spike train decoding,Abstract Missing
Multi-task Gaussian Process Prediction,Abstract Missing
The Tradeoffs of Large Scale Learning,This contribution develops a theoretical framework that takes into account the effect of approximate optimization on learning algorithms. The analysis shows distinct tradeoffs for the case of small-scale and large-scale learning problems. Small-scale learning problems are subject to the usual approximation--estimation tradeoff. Large-scale learning problems are subject to a qualitatively different tradeoff involving the computational complexity of the underlying optimization algorithms in non-trivial ways.
A Probabilistic Approach to Language Change,"We present a probabilistic approach to language change in which word forms are represented by phoneme sequences that undergo stochastic edits along the branches of a phylogenetic tree. Our framework combines the advantages of the classical comparative method with the robustness of corpus-based probabilistic models. We use this framework to explore the consequences of two different schemes for defining probabilistic models of phonological change, evaluating these schemes using the reconstruction of ancient word forms in Romance languages. The result is an efficient inference procedure for automatically inferring ancient word forms from modern languages, which can be generalized to support inferences about linguistic phylogenies."
Unsupervised Feature Selection for Accurate Recommendation of High-Dimensional Image Data,Abstract Missing
FilterBoost: Regression and Classification on Large Datasets,Abstract Missing
Simplified Rules and Theoretical Analysis for Information Bottleneck Optimization and PCA with Spiking Neurons,"We show that under suitable assumptions (primarily linearization) a simple and perspicuous online learning rule for Information Bottleneck optimization with spiking neurons can be derived. This rule performs on common benchmark tasks as well as a rather complex rule that has previously been proposed \cite{KlampflETAL:07b}. Furthermore, the transparency of this new learning rule makes a theoretical analysis of its convergence properties feasible. A variation of this learning rule (with sign changes) provides a theoretically founded method for performing Principal Component Analysis {(PCA)} with spiking neurons. By applying this rule to an ensemble of neurons, different principal components of the input can be extracted. In addition, it is possible to preferentially extract those principal components from incoming signals $X$ that are related or are not related to some additional target signal $Y_T$. In a biological interpretation, this target signal $Y_T$ (also called relevance variable) could represent proprioceptive feedback, input from other sensory modalities, or top-down signals."
The Distribution Family of Similarity Distances,"Assessing similarity between features is a key step in object recognition and scene categorization tasks. We argue that knowledge on the distribution of distances generated by similarity functions is crucial in deciding whether features are similar or not. Intuitively one would expect that similarities between features could arise from any distribution. In this paper, we will derive the contrary, and report the theoretical result that $L_p$-norms --a class of commonly applied distance metrics-- from one feature vector to other vectors are Weibull-distributed if the feature values are correlated and non-identically distributed. Besides these assumptions being realistic for images, we experimentally show them to hold for various popular feature extraction algorithms, for a diverse range of images. This fundamental insight opens new directions in the assessment of feature similarity, with projected improvements in object and scene recognition algorithms.

Erratum: The authors of paper have declared that they have become convinced that the reasoning in the reference is too simple as a proof of their claims. As a consequence, they withdraw their theorems."
Discriminative Keyword Selection Using Support Vector Machines,"Many tasks in speech processing involve classification of long term characteristics of a speech segment such as language, speaker, dialect, or topic. A natural technique for determining these characteristics is to first convert the input speech into a sequence of tokens such as words, phones, etc. From these tokens, we can then look for distinctive phrases, keywords, that characterize the speech. In many applications, a set of distinctive keywords may not be known a priori. In this case, an automatic method of building up keywords from short context units such as phones is desirable. We propose a method for construction of keywords based upon Support Vector Machines. We cast the problem of keyword selection as a feature selection problem for n-grams of phones. We propose an alternating filter-wrapper method that builds successively longer keywords. Application of this method on a language recognition task shows that the technique produces interesting and significant qualitative and quantitative results."
Evaluating Search Engines by Modeling the Relationship Between Relevance and Clicks,"We propose a model that leverages the millions of clicks received by web search engines, to predict document relevance. This allows the comparison of ranking functions when clicks are available but complete relevance judgments are not. After an initial training phase using a set of relevance judgments paired with click data, we show that our model can predict the relevance score of documents that have not been judged. These predictions can be used to evaluate the performance of a search engine, using our novel formalization of the confidence of the standard evaluation metric discounted cumulative gain (DCG), so comparisons can be made across time and datasets. This contrasts with previous methods which can provide only pair-wise relevance judgements between results shown for the same query. When no relevance judgments are available, we can identify the better of two ranked lists up to 82% of the time, and with only two relevance judgments for each query, we can identify the better ranking up to 94% of the time. While our experiments are on sponsored search results, which is the financial backbone of web search, our method is general enough to be applicable to algorithmic web search results as well. Furthermore, we give an algorithm to guide the selection of additional documents to judge to improve confidence."
Subspace-Based Face Recognition in Analog VLSI,Abstract Missing
A learning framework for nearest neighbor search,Can we leverage learning techniques to build a fast nearest-neighbor (NN) retrieval data structure? We present a general learning framework for the NN problem in which sample queries are used to learn the parameters of a data structure that minimize the retrieval time and/or the miss rate. We explore the potential of this novel framework through two popular NN data structures: KD-trees and the rectilinear structures employed by locality sensitive hashing. We derive a generalization theory for these data structure classes and present simple learning algorithms for both. Experimental results reveal that learning often improves on the already strong performance of these data structures.
